id,File Name/ Speaker Language,Ground Truth Script,SR Transcript,Ground Truth Length,SR Transcript Length,# correct tokens,# Substitutions,# Insertions,# Deletions,Accuracy,WER
11,pashto2.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Styler Hask hair to Blanc this things with her from the story sex fresh snow bus and 5 slips of Fort Hare Brothers small shop for kids go meet station,69,32,17,15,0,37,24%,0.7536232
12,hungarian5.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella from the store see spoons of snow peas and maybe a snack for the weather but I need a small plastic snake and the Victoria floor for the kids she can School District SD vehicle meter Wednesday at the train station,69,44,31,13,0,25,44%,0.5507246
13,polish32.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas by fix Labs with blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go and meet her Wednesday at the train station,69,70,65,4,1,0,94%,0.072463766
14,italian20.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring the things with her from the store 6 Pune fresh snow peas V takes lots of blue cheese and maybe a snack for the brother Bob we also need to smoke plastic snake and a big toy for the kids she cannot scoop the steam seem to three right bags and we will go meet her Wednesday at the train station,69,68,53,14,1,2,76%,0.24637681
15,yoruba2.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas 5-6 slabs of blue cheese and maybe a snack for her brother Bob we also need is small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet at Wednesday at the train station,69,68,65,3,0,1,94%,0.057971016
16,romanian18.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things would fall from the store 6.0 Fresno Pace 5K flap of blue cheese and maybe a snack for her brother Bob we also need a small plastic snakes in a big toy frog for the kids she can scoop these things into three right back and we will go mad for Wednesday at the train station,69,65,52,13,0,4,75%,0.24637681
17,english178.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her Wednesday at the train station,69,69,69,0,0,0,100%,0
18,afrikaans1.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with him from the store 6 p.m. to freeze snap peas by 6lack. Blue cheese and maybe a snack for her brother brother but we also need a small plastic snake and a big toy frog for the kids she can screw these things into free weight back and we were going to meet at Wednesday at the train station,69,69,51,16,2,2,73%,0.28985506
19,german8.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store safe spoons of fresh snow peas 5 takes laps of blue cheese and maybe a snack for a brother Bob we also need a small plastic like on a big toy truck for the kids she can scoop these things into three right backs and we will go meet her Wednesday at the train station,69,69,59,10,0,0,85%,0.14492753
20,vietnamese8.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,Eco Styler I said to bring these things with her from the store 6 spoon of fresh snow peas upload cheese and a big toy truck for the kids chicken scoop these times into Trader if we're going to go meet her Wednesday at the train station,69,47,32,15,0,22,46%,0.5362319
21,kurdish9.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella here to bring these singers with help from the store six points of Fresno Pace five six levels of the coaches and maybe a snack over here brother Bob we also need a small plastic steak and a big toy frog for the kids she can school dizziness in Tuesday Redbox I knew all go meet here Wednesday at the train station,69,65,43,22,0,4,62%,0.3768116
22,greek13.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store 6 spoons of fresh fresh snow peas five six tabs of blue cheese and maybe a snack for her brother Bob we got we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her Wednesday at the train station,69,72,66,3,3,0,95%,0.08695652
23,english75.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things into three red bags and we will go meet her Wednesday at the train station,69,69,69,0,0,0,100%,0
24,bengali4.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring this thing with her from the store City spoon of fresh snow peas fat blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and big and a big toy frog for the kids she can describe this thing into three red bags and we will go meet her at the train station,69,67,57,8,2,4,82%,0.20289855
25,swedish17.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store expensive fresh new snow peas v a slab of cheese blue cheese and maybe a snack for her brother Bob Wilson in a small plastic snack in a big toy frog for the kids she can scoop these things into three red bags and we will go meet her Wednesday at the train station,69,68,58,8,2,3,84%,0.1884058
26,english9.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store spoons of fresh snow p56 lapse of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy frog for the kids you can scoop these thing in three red bag and we will go meet her Wednesday at the train station,69,66,60,6,0,3,86%,0.13043478
27,russian34.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the storm six spoons of fresh snow peas 5 6 letter blue cheese and maybe a snack with a rock the boat fuel sending a small plastic snake and a big toy frog for the kids you can scream these things until 3 or add bags and we'll go meet her and Nate and the train station,69,69,48,19,2,2,69%,0.33333334
28,japanese8.wav,Please call Stella Ask her to bring these things with her from the store Six spoons of fresh snow peas five thick slabs of blue cheese and maybe a snack for her brother Bob We also need a small plastic snake and a big toy frog for the kids She can scoop these things into three red bags and we will go meet her Wednesday at the train station,please call Stella ask her to bring these things with her from the store six spoons of fresh snow peas 5 thick slabs of blue cheese and maybe a snack for brother Bob we also need a small plastic snake and a big toy frog for the kids she can scoop these things to do three red bags and we will go meet her Wednesday at the train station,69,69,66,2,1,1,95%,0.057971016
